tree_id;stand_id;plot;stand_idplot;tag;species;year;year_count;tree_status;dbh;x_coord;AreaCookie;y_coord;size_cat
AB08000900024;AB08;9;AB089;4307;THPL;2012;35;1;40,8;82,74;1307,405199;26,93;regular
AB08000900025;AB08;9;AB089;4545;THPL;2012;35;1;85,5;93,73;5741,456924;30,91;regular
AB08000900026;AB08;9;AB089;293;TSHE;2012;35;2;15,3;80,73;183,8538561;41,1;regular
AB08001000001;AB08;10;AB0810;4308;TSHE;2012;35;1;18,5;80,48;268,8025214;24,7;regular
AB08001000002;AB08;10;AB0810;4309;THPL;2012;35;1;70,1;85,53;3859,454429;20,86;regular
AB08001000003;AB08;10;AB0810;4310;THPL;2012;35;1;45,9;89,16;1654,684705;20,58;regular
AB08001000004;AB08;10;AB0810;4311;THPL;2012;35;1;67,1;90,82;3536,184545;17,49;regular
AB08001000005;AB08;10;AB0810;4312;THPL;2012;35;1;70,4;96,5;3892,558962;18,35;regular
AB08001000006;AB08;10;AB0810;4313;ABAM;2012;35;1;25,4;98,26;506,7074791;16,37;regular
AB08001000007;AB08;10;AB0810;4314;TSHE;2008;31;6;27,6;98,81;598,2849049;14,45;regular
AB08001000008;AB08;10;AB0810;4315;THPL;2012;35;1;68,8;94,31;3717,635083;13,93;regular
AB08001000009;AB08;10;AB0810;4316;TSHE;2012;35;1;18,4;95,61;265,9044022;15,42;regular
AB08001000010;AB08;10;AB0810;4317;TSHE;2012;35;1;24,4;91,44;467,5946506;15,23;regular
AB08001000011;AB08;10;AB0810;4318;TSHE;2012;35;1;38,1;88,05;1140,091828;16,46;regular
AB08001000012;AB08;10;AB0810;4319;TSHE;2012;35;1;25;86,46;490,8738521;15,1;regular
AB08001000013;AB08;10;AB0810;4320;TSHE;2012;35;1;69,6;82,66;3804,594367;14,54;regular
AB08001000014;AB08;10;AB0810;4321;TSHE;2012;35;1;23,4;80,27;430,0526183;7,87;regular
AB08001000015;AB08;10;AB0810;4322;TSHE;2012;35;1;15,5;79,33;188,6919088;7,94;regular
AB08001000016;AB08;10;AB0810;4323;THPL;2012;35;1;66,5;77,51;3473,227028;4,45;regular
AB08001000017;AB08;10;AB0810;4324;TSHE;2012;35;1;82,3;80,47;5319,729526;2,98;regular
AB08001000018;AB08;10;AB0810;4325;TSHE;2012;35;1;41,5;84,09;1352,651987;4,15;regular
AB08001000019;AB08;10;AB0810;4326;TSHE;2012;35;1;25,2;95,27;498,7592497;0,88;regular
AB08001000020;AB08;10;AB0810;4327;THPL;2012;35;1;76,9;98,85;4644,538433;4,3;regular
AB08001000021;AB08;10;AB0810;4328;TSHE;2012;35;1;24;97,75;452,3893421;6,36;regular
AB08001000022;AB08;10;AB0810;4329;THPL;2012;35;1;66,8;93,76;3504,635101;6,5;regular
AB08001000023;AB08;10;AB0810;4330;TSHE;2012;35;1;32,5;93,27;829,5768101;9,65;regular
